               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.044011,            0.015633,            0.013034,             0.83415,             0.85329,             0.92901,             0.57637,            0.039564,            0.016415,            0.010972,            0.002179,            0.002179,            0.002179
                  81,            0.034449,            0.014904,            0.013203,              0.9881,             0.84524,             0.93944,             0.56646,            0.034297,            0.016403,            0.010705,             0.00208,             0.00208,             0.00208
                  82,            0.033737,            0.013393,            0.012419,             0.88705,              0.8115,             0.87185,             0.55726,            0.037119,            0.016685,            0.010418,            0.001981,            0.001981,            0.001981
                  83,            0.038006,            0.018142,            0.012678,              0.9381,             0.84524,             0.93637,             0.55621,            0.034652,            0.016571,              0.0103,            0.001882,            0.001882,            0.001882
                  84,             0.03292,            0.013322,            0.012487,              0.9381,             0.84524,             0.93637,             0.55621,            0.034652,            0.016571,              0.0103,            0.001783,            0.001783,            0.001783
                  85,             0.03082,            0.017072,            0.011952,             0.94069,             0.84524,             0.93637,             0.61277,            0.034172,            0.016422,            0.009816,            0.001684,            0.001684,            0.001684
                  86,            0.031829,            0.013473,            0.010546,             0.89077,             0.89436,             0.94317,             0.57713,            0.033641,            0.016449,           0.0093781,            0.001585,            0.001585,            0.001585
                  87,            0.036002,            0.018446,            0.012084,              0.9415,             0.84524,             0.93637,             0.57867,            0.033787,            0.016273,           0.0091339,            0.001486,            0.001486,            0.001486
                  88,            0.034937,            0.015943,            0.010858,              0.9415,             0.84524,             0.93637,             0.57867,            0.033787,            0.016273,           0.0091339,            0.001387,            0.001387,            0.001387
                  89,            0.029926,            0.013406,            0.010052,             0.94132,             0.84524,             0.93944,             0.58198,            0.032869,            0.016109,            0.008976,            0.001288,            0.001288,            0.001288
                  90,            0.033231,            0.023949,            0.011223,             0.94757,             0.84524,             0.93637,             0.58736,            0.033059,            0.016354,           0.0090477,            0.001189,            0.001189,            0.001189
                  91,            0.032198,             0.01196,            0.010803,             0.94778,             0.84524,             0.93637,             0.58153,            0.032107,            0.016174,           0.0089111,             0.00109,             0.00109,             0.00109
                  92,            0.032381,            0.011123,             0.01002,             0.94778,             0.84524,             0.93637,             0.58153,            0.032107,            0.016174,           0.0089111,            0.000991,            0.000991,            0.000991
                  93,            0.031973,            0.014895,            0.010295,             0.93919,             0.84524,             0.93373,             0.57658,            0.032156,            0.016132,           0.0086281,            0.000892,            0.000892,            0.000892
                  94,            0.032478,            0.016442,             0.01013,             0.94582,             0.84524,             0.93637,             0.57703,            0.032109,            0.016197,           0.0086121,            0.000793,            0.000793,            0.000793
                  95,             0.02956,             0.01562,            0.010439,             0.94633,             0.84524,             0.93637,             0.59653,             0.03241,            0.016247,           0.0083443,            0.000694,            0.000694,            0.000694
                  96,            0.034574,            0.018905,            0.012118,             0.94633,             0.84524,             0.93637,             0.59653,             0.03241,            0.016247,           0.0083443,            0.000595,            0.000595,            0.000595
                  97,            0.031412,            0.012065,           0.0092689,             0.94812,             0.84524,             0.93944,             0.58379,            0.032427,            0.016273,           0.0081757,            0.000496,            0.000496,            0.000496
                  98,             0.02952,            0.014731,           0.0092626,             0.94408,             0.84524,             0.93944,             0.58779,            0.032153,            0.016281,           0.0079865,            0.000397,            0.000397,            0.000397
                  99,            0.027622,            0.016487,           0.0091432,             0.94572,             0.84524,             0.94308,             0.59862,            0.032107,            0.016197,           0.0078316,            0.000298,            0.000298,            0.000298
